,Match_Id,cum_run_conceded,cum_ball_thrown,cum_wicket,Player_Id
6540,980972,2164,1685,74.0,73
6572,980978,2187,1709,74.0,73
6610,980984,2202,1727,77.0,73
6633,980988,2231,1751,80.0,73
6682,980996,2254,1769,81.0,73
68,335992,0,0,0.0,75
104,335995,12,6,0.0,75
451,336024,26,18,0.0,75
597,336038,74,36,0.0,75
636,336041,104,60,0.0,75
795,392196,129,72,0.0,75
820,392199,149,84,0.0,75
880,392204,180,108,2.0,75
1981,419159,194,114,2.0,75
2015,419162,221,138,4.0,75
2771,501257,275,162,4.0,75
3214,548329,298,174,4.0,75
3234,548331,316,198,4.0,75
3353,548341,353,216,4.0,75
3433,548350,385,240,4.0,75
3484,548354,410,264,4.0,75
3632,548366,434,276,4.0,75
18,335988,0,0,0.0,77
69,335992,35,18,0.0,77
116,335996,73,37,1.0,77
160,336000,104,61,3.0,77
211,336004,129,73,3.0,77
259,336008,162,97,4.0,77
298,336011,187,121,6.0,77
375,336018,203,145,8.0,77
414,336021,232,169,10.0,77
452,336024,261,193,13.0,77
480,336027,305,211,14.0,77
553,336033,338,229,14.0,77
576,336036,373,253,16.0,77
621,336040,402,277,17.0,77
666,336044,435,301,19.0,77
1029,392215,442,307,19.0,77
1075,392219,486,331,19.0,77
1105,392221,523,355,20.0,77
1179,392227,560,379,21.0,77
1228,392231,581,385,21.0,77
1268,392234,601,409,23.0,77
1329,392239,611,421,23.0,77
1423,419113,634,445,25.0,77
1475,419117,658,469,27.0,77
1535,419122,700,487,27.0,77
1614,419129,751,511,27.0,77
1761,419141,771,529,28.0,77
1849,419148,785,541,28.0,77
2149,501205,825,559,28.0,77
2234,501212,853,577,29.0,77
2491,501234,874,595,29.0,77
2540,501238,896,619,29.0,77
2599,501243,906,643,31.0,77
2649,501247,930,667,32.0,77
2793,501259,954,685,32.0,77
2839,501263,992,708,32.0,77
2874,501266,1008,732,34.0,77
3908,598006,1031,750,35.0,77
3955,598010,1049,774,35.0,77
3998,598014,1073,799,35.0,77
4058,598019,1110,816,35.0,77
4159,598028,1127,842,35.0,77
4310,598041,1136,848,35.0,77
4501,598057,1171,872,36.0,77
117,335996,0,0,0.0,78
161,336000,40,24,1.0,78
212,336004,69,48,4.0,78
260,336008,103,72,4.0,78
299,336011,134,96,5.0,78
376,336018,167,120,6.0,78
415,336021,202,144,7.0,78
453,336024,217,168,8.0,78
481,336027,249,192,8.0,78
554,336033,282,204,8.0,78
577,336036,338,228,8.0,78
622,336040,378,252,9.0,78
667,336044,406,276,11.0,78
709,392188,420,288,11.0,78
796,392196,425,294,11.0,78
833,392200,447,306,12.0,78
1076,392219,466,330,12.0,78
2040,419164,502,342,12.0,78
44,335990,0,0,0.0,80
89,335994,19,16,1.0,80
118,335996,44,34,2.0,80
151,335999,81,58,4.0,80
185,336002,89,64,4.0,80
272,336009,104,82,4.0,80
321,336013,122,99,6.0,80
365,336017,143,117,8.0,80
435,336023,177,135,8.0,80
585,336037,210,159,11.0,80
811,392197,236,177,11.0,80
1050,392217,254,183,11.0,80
1087,392220,275,207,12.0,80
1126,392223,284,225,12.0,80
1180,392227,308,249,13.0,80
1216,392230,332,267,14.0,80
1238,392232,361,291,14.0,80
1339,392240,406,315,15.0,80
1936,419155,442,333,16.0,80
2635,501246,482,357,17.0,80
2699,501251,502,381,17.0,80
2756,501256,529,405,18.0,80
2814,501261,554,417,18.0,80
2898,501268,580,441,21.0,80
2964,501274,599,453,21.0,80
3814,548382,631,477,22.0,80
3838,548384,646,504,22.0,80
4274,598038,690,530,22.0,80
4323,598042,709,554,25.0,80
4345,598044,753,578,27.0,80
4594,598065,766,590,28.0,80
4632,598068,808,614,28.0,80
4670,598071,829,638,30.0,80
4796,729290,841,642,30.0,80
4831,729296,864,666,32.0,80
4869,729302,914,690,33.0,80
5018,733980,932,707,33.0,80
5101,733994,950,725,33.0,80
5225,734016,969,737,33.0,80
5263,734022,993,761,34.0,80
5400,734046,1020,785,34.0,80
5475,829714,1062,803,36.0,80
5512,829720,1083,821,37.0,80
5546,829726,1101,827,37.0,80
5585,829732,1116,845,38.0,80
5721,829754,1125,863,40.0,80
5788,829768,1151,887,40.0,80
5818,829774,1187,911,41.0,80
