,Match_Id,Player_Id,cum_run_scored,cum_ball_faced,cum_four,cum_six,cum_dis,cum_run_conceded,cum_ball_thrown,cum_wicket,Batting_Average,Batting_Strike_Rate,Hard_Hitter,Economy_Rate,Bowling_Strike_Rate,Bowling_Average
2006,419144,4,382.0,323.0,22.0,20.0,13.0,161.0,108.0,2.0,29.384615384615383,1.1826625386996905,0.6439628482972136,8.944444444444445,54.0,80.5
2314,419158,4,393.0,328.0,23.0,21.0,13.0,174.0,114.0,2.0,30.23076923076923,1.1981707317073171,0.6646341463414634,9.157894736842104,57.0,87.0
2497,419166,4,393.0,331.0,23.0,21.0,14.0,196.0,126.0,2.0,28.071428571428573,1.1873111782477341,0.6586102719033232,9.333333333333334,63.0,98.0
3134,501228,4,413.0,345.0,24.0,22.0,14.0,210.0,138.0,2.0,29.5,1.1971014492753622,0.6608695652173913,9.130434782608695,69.0,105.0
3371,501239,4,433.0,355.0,24.0,24.0,15.0,229.0,144.0,3.0,28.866666666666667,1.2197183098591549,0.676056338028169,9.541666666666666,48.0,76.33333333333333
3442,501242,4,448.0,375.0,25.0,24.0,16.0,248.0,156.0,3.0,28.0,1.1946666666666668,0.6506666666666666,9.538461538461538,52.0,82.66666666666667
3678,501253,4,449.0,380.0,25.0,24.0,17.0,248.0,156.0,3.0,26.41176470588235,1.181578947368421,0.6421052631578947,9.538461538461538,52.0,82.66666666666667
3744,501256,4,453.0,385.0,25.0,24.0,18.0,248.0,156.0,3.0,25.166666666666668,1.1766233766233767,0.6337662337662338,9.538461538461538,52.0,82.66666666666667
3818,501259,4,453.0,388.0,25.0,24.0,19.0,248.0,156.0,3.0,23.842105263157894,1.1675257731958764,0.6288659793814433,9.538461538461538,52.0,82.66666666666667
3876,501262,4,474.0,403.0,27.0,25.0,19.0,248.0,156.0,3.0,24.94736842105263,1.1761786600496278,0.6401985111662531,9.538461538461538,52.0,82.66666666666667
3941,501265,4,477.0,407.0,27.0,25.0,20.0,248.0,156.0,3.0,23.85,1.171990171990172,0.6339066339066339,9.538461538461538,52.0,82.66666666666667
4256,548314,4,477.0,408.0,27.0,25.0,20.0,248.0,156.0,3.0,23.85,1.1691176470588236,0.6323529411764706,9.538461538461538,52.0,82.66666666666667
4346,548318,4,490.0,418.0,28.0,25.0,20.0,248.0,156.0,3.0,24.5,1.1722488038277512,0.6267942583732058,9.538461538461538,52.0,82.66666666666667
4482,548324,4,508.0,436.0,28.0,26.0,20.0,248.0,156.0,3.0,25.4,1.165137614678899,0.6146788990825688,9.538461538461538,52.0,82.66666666666667
4557,548328,4,508.0,436.0,28.0,26.0,20.0,248.0,156.0,3.0,25.4,1.165137614678899,0.6146788990825688,9.538461538461538,52.0,82.66666666666667
4668,548333,4,540.0,467.0,29.0,27.0,20.0,248.0,156.0,3.0,27.0,1.1563169164882228,0.5952890792291221,9.538461538461538,52.0,82.66666666666667
4733,548336,4,550.0,481.0,29.0,27.0,20.0,248.0,156.0,3.0,27.5,1.1434511434511434,0.577962577962578,9.538461538461538,52.0,82.66666666666667
4807,548339,4,591.0,517.0,33.0,27.0,20.0,248.0,156.0,3.0,29.55,1.1431334622823985,0.5686653771760155,9.538461538461538,52.0,82.66666666666667
4887,548344,4,612.0,536.0,35.0,27.0,20.0,260.0,162.0,3.0,30.6,1.1417910447761195,0.5634328358208955,9.62962962962963,54.0,86.66666666666667
4954,548348,4,680.0,580.0,39.0,31.0,20.0,260.0,162.0,3.0,34.0,1.1724137931034482,0.5896551724137931,9.62962962962963,54.0,86.66666666666667
5114,548355,4,687.0,584.0,40.0,31.0,20.0,263.0,168.0,3.0,34.35,1.1763698630136987,0.5924657534246576,9.392857142857142,56.0,87.66666666666667
5202,548359,4,732.0,613.0,42.0,35.0,20.0,272.0,180.0,3.0,36.6,1.1941272430668841,0.6166394779771615,9.066666666666666,60.0,90.66666666666667
